1593,拆分字符串使唯一子字符串的数目最大,split-a-string-into-the-max-number-of-unique-substrings,https://leetcode-cn.com/problems/split-a-string-into-the-max-number-of-unique-substrings,中等
1617,统计子树中城市之间最大距离,count-subtrees-with-max-distance-between-cities,https://leetcode-cn.com/problems/count-subtrees-with-max-distance-between-cities,困难
1641,统计字典序元音字符串的数目,count-sorted-vowel-strings,https://leetcode-cn.com/problems/count-sorted-vowel-strings,中等
1655,分配重复整数,distribute-repeating-integers,https://leetcode-cn.com/problems/distribute-repeating-integers,困难
1659,最大化网格幸福感,maximize-grid-happiness,https://leetcode-cn.com/problems/maximize-grid-happiness,困难
1681,最小不兼容性,minimum-incompatibility,https://leetcode-cn.com/problems/minimum-incompatibility,困难
1688,比赛中的配对次数,count-of-matches-in-tournament,https://leetcode-cn.com/problems/count-of-matches-in-tournament,简单
1718,构建字典序最大的可行序列,construct-the-lexicographically-largest-valid-sequence,https://leetcode-cn.com/problems/construct-the-lexicographically-largest-valid-sequence,中等
1723,完成所有工作的最短时间,find-minimum-time-to-finish-all-jobs,https://leetcode-cn.com/problems/find-minimum-time-to-finish-all-jobs,困难
1780,判断一个数字是否可以表示成三的幂的和,check-if-number-is-a-sum-of-powers-of-three,https://leetcode-cn.com/problems/check-if-number-is-a-sum-of-powers-of-three,中等
1799,N 次操作后的最大分数和,maximize-score-after-n-operations,https://leetcode-cn.com/problems/maximize-score-after-n-operations,困难
剑指 Offer 38,字符串的排列,zi-fu-chuan-de-pai-lie-lcof,https://leetcode-cn.com/problems/zi-fu-chuan-de-pai-lie-lcof,中等
面试题 08.04,幂集,power-set-lcci,https://leetcode-cn.com/problems/power-set-lcci,中等
面试题 08.07,无重复字符串的排列组合,permutation-i-lcci,https://leetcode-cn.com/problems/permutation-i-lcci,中等
面试题 08.08,有重复字符串的排列组合,permutation-ii-lcci,https://leetcode-cn.com/problems/permutation-ii-lcci,中等
面试题 08.09,括号,bracket-lcci,https://leetcode-cn.com/problems/bracket-lcci,中等
面试题 08.12,八皇后,eight-queens-lcci,https://leetcode-cn.com/problems/eight-queens-lcci,困难
面试题 08.13,堆箱子,pile-box-lcci,https://leetcode-cn.com/problems/pile-box-lcci,困难
